trade_id,timestamp,pnl,fee_paid,balance,equity,pbr,qty,price,psize,pprice,type,adg
24,1609459239000.0,0.0,-0.10957415300000001,999.890425847,999.872992847,0.10958616081075137,19.37,5.6569,19.37,5.6569,long_ientry,-0.3669809666011349
3151,1609462366000.0,0.06388300000000025,-0.0109817,999.943327147,1000.621743147,0.09866192745291125,-1.93,5.69,17.44,5.6569,long_nclose,0.01718887400226521
3156,1609462371000.0,0.08318299999999984,-0.011001,1000.015509147,1000.685541147,0.087737158271515,-1.93,5.7,15.51,5.6569,long_nclose,0.018938334101346488
3156,1609462371000.0,0.08318299999999984,-0.011001,1000.087691147,1000.6743471469999,0.07681396609520749,-1.93,5.7,13.58,5.6569,long_nclose,0.01862633865311425
3177,1609462392000.0,0.10301399999999943,-0.0110774,1000.179627747,1000.807023747,0.06583449029883273,-1.94,5.71,11.64,5.6569,long_nclose,0.022180955976545125
3177,1609462392000.0,0.10301399999999943,-0.0110774,1000.2715643470001,1000.7943943470001,0.05485703278571318,-1.94,5.71,9.7,5.6569,long_nclose,0.02183021629194415
3189,1609462404000.0,0.515069999999997,-0.05538699999999999,1000.7312473470001,1000.7312473470001,0.0,-9.7,5.71,0.0,5.6569,long_nclose,0.02000195222507828
3191,1609462406000.0,0.0,-0.10964352000000001,1000.6216038270002,1000.4718438270002,0.10957540750734834,19.2,5.7106,19.2,5.7106,long_ientry,0.012854621266776611
6208,1609465423000.0,0.05644799999999975,-0.011020799999999999,1000.6670310270001,1001.1940710270001,0.09861338980931955,-1.92,5.74,17.28,5.7106,long_nclose,0.01674728989316865
7013,1609466228000.0,0.07564799999999934,-0.01104,1000.7316390270001,1001.3875110270002,0.0876506873364013,-1.92,5.75,15.36,5.7106,long_nclose,0.017228992098684337
7013,1609466228000.0,0.07564799999999934,-0.01104,1000.7962470270002,1001.3701350270002,0.07668940029301427,-1.92,5.75,13.44,5.7106,long_nclose,0.01701155501330609
8461,1609467676000.0,0.051449999999999774,-0.010045,1000.8376520270002,1001.2058870270002,0.06670104173718581,-1.75,5.74,11.69,5.7106,long_nclose,0.012382605153695714
8588,1609467803000.0,0.051449999999999774,-0.010045,1000.8790570270003,1001.1901790270002,0.0567135095908683,-1.75,5.74,9.94,5.7106,long_nclose,0.012038623116597202
9302,1609468517000.0,0.2922359999999987,-0.0570556,1001.1142374270003,1001.1142374270003,0.0,-9.94,5.74,0.0,5.7106,long_nclose,0.01039731823235801
9309,1609468524000.0,0.0,-0.10967029000000002,1001.0045671370002,1000.9701871370002,0.10956022939402857,19.1,5.7419,19.1,5.7419,long_ientry,0.009040896265993581
15450,1609474665000.0,0.053670999999998754,-0.011020699999999998,1001.0472174370002,1001.6058924370002,0.09860000535510384,-1.91,5.77,17.19,5.7419,long_nclose,0.009013702471515117
15453,1609474668000.0,0.04889399999999886,-0.0100398,1001.0860716370001,1001.5665666370002,0.08861611155465925,-1.74,5.77,15.45,5.7419,long_nclose,0.008790462532310972
15477,1609474692000.0,0.04889399999999886,-0.0100398,1001.1249258370001,1001.5129188370001,0.07863299271485442,-1.74,5.77,13.71,5.7419,long_nclose,0.00847516502800727
15480,1609474695000.0,0.04889399999999886,-0.0100398,1001.163780037,1001.5348500370001,0.06865064874546294,-1.74,5.77,11.97,5.7419,long_nclose,0.008596779232201923
15486,1609474701000.0,0.06629400000000003,-0.0100572,1001.220016837,1001.616940837,0.05866806097781293,-1.74,5.78,10.23,5.7419,long_nclose,0.009054752326354443
15584,1609474799000.0,0.5943629999999959,-0.059334000000000005,1001.755045837,1001.755045837,0.0,-10.23,5.8,0.0,5.7419,long_nclose,0.009769114350607344
15586,1609474801000.0,0.0,-0.10976174999999999,1001.645284087,1001.6018140870001,0.10958145737195564,18.9,5.8075,18.9,5.8075,long_ientry,0.008911927285234933
