trade_id,timestamp,pnl,fee_paid,balance,equity,pbr,qty,price,psize,pprice,type,adg
1,1628575201000.0,0.0,-0.051000000000000004,999.949,999.6429999999999,0.05100260113265777,10.2,5.0,10.2,5.0,long_ientry,-0.99999999999996
4,1628575204000.0,0.0,-0.19231520000000002,999.7566847999999,998.6496847999998,0.24337441669487303,39.2,4.906,49.4,4.925408906882591,long_primary_rentry,-0.999999999999789
6,1628575206000.0,0.0,-0.298282,999.4584027999999,992.0242027999999,0.5418906864785029,62.0,4.811,111.4,4.861734290843806,long_primary_rentry,-1.0
277889,1628853089000.0,0.2249493716337481,-0.0541902,999.6291619716337,1002.1633125999999,0.4878128489267415,-11.1,4.882,100.3,4.861734290843806,long_nclose,0.0006721067191308716
277893,1628853093000.0,0.20265709156193523,-0.048819999999999995,999.7829990631957,1002.0644926,0.4391098937214933,-10.0,4.882,90.3,4.861734290843806,long_nclose,0.0006414174883713208
277910,1628853110000.0,0.25265709156193417,-0.04887,999.9867861547576,1002.0959226,0.39040242227194777,-10.0,4.887,80.3,4.861734290843806,long_nclose,0.0006511355932348195
277961,1628853161000.0,0.2248648114901214,-0.0434943,1000.1681566662478,1002.1149283000001,0.3470694663218347,-8.9,4.887,71.4,4.861734290843806,long_nclose,0.0006569151642321636
278026,1628853226000.0,0.26936481149012836,-0.0435388,1000.3939826777379,1002.5355895,0.3037387253813794,-8.9,4.892,62.5,4.861734290843806,long_nclose,0.0007872780795914469
278067,1628853267000.0,0.3227648114901225,-0.0435922,1000.673155289228,1002.6705973,0.2604136591571791,-8.9,4.898,53.6,4.861734290843806,long_nclose,0.0008290359982632278
278082,1628853282000.0,0.20278025134650113,-0.032776400000000004,1000.8431591405745,1002.6378209,0.22782324698744166,-6.7,4.892,46.9,4.861734290843806,long_nclose,0.0008188262321460194
278082,1628853282000.0,0.2429802513464967,-0.0328166,1001.053322791921,1002.5916043,0.1952360718875967,-6.7,4.898,40.2,4.861734290843806,long_nclose,0.0008044925707815231
278096,1628853296000.0,0.276480251346496,-0.0328501,1001.2969529432675,1002.8133541999999,0.1626571400866886,-6.7,4.903,33.5,4.861734290843806,long_nclose,0.0008732181703052788
278108,1628853308000.0,0.30998025134650126,-0.0328836,1001.5740495946139,1002.8675705999999,0.1300897113372202,-6.7,4.908,26.8,4.861734290843806,long_nclose,0.0008899910204198669
278169,1628853369000.0,0.5096648114901217,-0.0437791,1002.0399353061041,1003.3155915,0.08684787974994193,-8.9,4.919,17.9,4.861734290843806,long_nclose,0.0010286563849917219
278169,1628853369000.0,0.5541648114901286,-0.043823600000000004,1002.5502765175942,1003.1916678999999,0.04364430357506003,-8.9,4.924,9.0,4.861734290843806,long_nclose,0.0009902514995066003
278169,1628853369000.0,0.6143913824057421,-0.04437,1003.1202979,1003.1202979,0.0,-9.0,4.93,0.0,4.861734290843806,long_nclose,0.0009681318983436604
278187,1628853387000.0,0.0,-0.051261600000000004,1003.0690363,1003.0170363,0.05110475764368882,10.4,4.929,10.4,4.929,long_ientry,0.0009360656589398886
278263,1628853463000.0,0.04199999999999911,-0.010392900000000002,1003.1006434,1003.3081434,0.040784242607335576,-2.1,4.949,8.3,4.929,long_nclose,0.0010260013649452393
278342,1628853542000.0,0.054599999999999586,-0.0104055,1003.1448379,1003.3184378999999,0.03046399567182581,-2.1,4.955,6.2,4.929,long_nclose,0.0010288982421433612
278344,1628853544000.0,0.16119999999999876,-0.030721000000000002,1003.2753169,1003.2753169,0.0,-6.2,4.955,0.0,4.929,long_nclose,0.0010155361201231727
278350,1628853550000.0,0.0,-0.05105710000000001,1003.2242598,1003.1830598,0.05089300772110376,10.3,4.957,10.3,4.957,long_ientry,0.0009869411576186593
279533,1628854733000.0,0.0,-0.19298170000000003,1003.0312781,1001.9424781,0.24330128613962312,39.7,4.861,50.0,4.880776,long_primary_rentry,0.0005999921654138429
279719,1628854919000.0,0.10111999999999899,-0.024505,1003.1078931,1004.0629730999999,0.2189544330283767,-5.0,4.901,45.0,4.880776,long_nclose,0.001253218912002474
279785,1628854985000.0,0.12611999999999846,-0.02453,1003.2094830999999,1004.3784430999999,0.19460645387513684,-5.0,4.906,40.0,4.880776,long_nclose,0.0013500597377662515
281158,1628856358000.0,0.11098559999999864,-0.021586400000000002,1003.2988823,1004.3036566999999,0.17318431094199577,-4.4,4.906,35.6,4.880776,long_nclose,0.0013205494178312183
281176,1628856376000.0,0.2432215999999983,-0.0290398,1003.5130641,1005.0641168999999,0.14445157954172366,-5.9,4.922,29.7,4.880776,long_nclose,0.001553384494440202
281176,1628856376000.0,0.27862159999999964,-0.029075200000000002,1003.7626104999999,1005.0055417,0.11572703305031105,-5.9,4.928,23.8,4.880776,long_nclose,0.0015354479665996568
281178,1628856378000.0,0.16077359999999885,-0.0191958,1003.9041883,1004.9235459,0.09674971330130071,-3.9,4.922,19.9,4.880776,long_nclose,0.0015103277630605927
281178,1628856378000.0,0.18417359999999974,-0.019219200000000002,1004.0691427,1004.8887267,0.07777593462339155,-3.9,4.928,16.0,4.880776,long_nclose,0.0014996647776328587
281180,1628856380000.0,0.1511167999999998,-0.0157696,1004.2044899,1004.8345571,0.06221236155419026,-3.2,4.928,12.8,4.880776,long_nclose,0.001483064885897889
281190,1628856390000.0,0.24034079999999883,-0.0207396,1004.4240910999999,1004.9936174999999,0.04178979175422926,-4.2,4.938,8.6,4.880776,long_nclose,0.0015317202005864505
281190,1628856390000.0,0.5437263999999995,-0.0425184,1004.9252991,1004.9252991,0.0,-8.6,4.944,0.0,4.880776,long_nclose,0.0015108001279300343
281192,1628856392000.0,0.0,-0.0509747,1004.8743244,1004.8331244,0.05072743801115275,10.3,4.949,10.3,4.949,long_ientry,0.0014825628003756197
281228,1628856428000.0,0.042000000000000974,-0.0104349,1004.9058895,1005.0780894999999,0.040383682117926326,-2.1,4.969,8.2,4.949,long_nclose,0.0015573747475376987
281251,1628856451000.0,0.042000000000000974,-0.0104349,1004.9374545999999,1005.0655545999999,0.03004057601974466,-2.1,4.969,6.1,4.949,long_nclose,0.0015534100553000751
281296,1628856496000.0,0.12200000000000281,-0.0303109,1005.0291437,1005.0291437,0.0,-6.1,4.969,0.0,4.949,long_nclose,0.001542016701464144
281310,1628856510000.0,0.0,-0.0513558,1004.9777879,1004.9262878999999,0.05110142793037546,10.3,4.986,10.3,4.986,long_ientry,0.0015104578333733354
281323,1628856523000.0,0.040000000000000924,-0.010012,1005.0077759,1005.1903758999999,0.04117759184792393,-2.0,5.006,8.3,4.986,long_nclose,0.001591211711530871
281325,1628856525000.0,0.0519999999999996,-0.010024,1005.0497518999999,1005.3206518999999,0.031253975179454996,-2.0,5.012,6.3,4.986,long_nclose,0.0016310654583535644
281325,1628856525000.0,0.19530000000000367,-0.031607100000000006,1005.2134447999999,1005.2134447999999,0.0,-6.3,5.017,0.0,4.986,long_nclose,0.0015982598428754269
281332,1628856532000.0,0.0,-0.051224399999999996,1005.1622203999999,1005.1520203999999,0.05096132640124046,10.2,5.022,10.2,5.022,long_ientry,0.0015794234142885166
281388,1628856588000.0,0.041999999999999815,-0.010086000000000001,1005.1941343999999,1005.4237344,0.04096760873418801,-2.0,5.043,8.2,5.022,long_nclose,0.0016622341006458097
281388,1628856588000.0,0.0519999999999996,-0.010096,1005.2360384,1005.4096384,0.030974217806157,-2.0,5.048,6.2,5.022,long_nclose,0.0016579221047667847
281390,1628856590000.0,0.13019999999999943,-0.0312666,1005.3349718,1005.3349718,0.0,-6.2,5.043,0.0,5.022,long_nclose,0.0016350691060327271
281400,1628856600000.0,0.0,-0.050984800000000004,1005.2839869999999,1005.1627869999999,0.050716813019324465,10.1,5.048,10.1,5.048,long_ientry,0.001582335420634795
281720,1628856920000.0,0.0,-0.193167,1005.0908199999999,1003.9349199999999,0.24291516263177096,39.0,4.953,49.1,4.972541751527495,long_primary_rentry,0.0012051482484614073
281752,1628856952000.0,0.1002454175152761,-0.024465700000000003,1005.1665997175152,1006.2034542999999,0.2186566341134718,-4.9,4.993,44.2,4.972541751527495,long_nclose,0.001898228972123217
282913,1628858113000.0,0.12474541751527558,-0.024490200000000004,1005.2668549350304,1006.3459640999998,0.19439702987885782,-4.9,4.998,39.3,4.972541751527495,long_nclose,0.001933764772527713
282916,1628858116000.0,0.10947046843177244,-0.0214914,1005.3548340034622,1006.3158726999999,0.1731119754111243,-4.3,4.998,35.0,4.972541751527495,long_nclose,0.0019245948006552105
282921,1628858121000.0,0.09674134419551983,-0.0189924,1005.4325829476577,1006.2892802999999,0.15430502778497532,-3.8,4.998,31.2,4.972541751527495,long_nclose,0.0019164751824536364
282939,1628858139000.0,0.06342057026476651,-0.0154783,1005.4805252179225,1006.0835019999998,0.13896681209975562,-3.1,4.993,28.1,4.972541751527495,long_nclose,0.001853784034592243
282984,1628858184000.0,0.11010386965376595,-0.017514,1005.5731150875763,1006.371588,0.12164657671553106,-3.5,5.004,24.6,4.972541751527495,long_nclose,0.0019410681814662212
282993,1628858193000.0,0.09437474541751367,-0.015012,1005.6524778329938,1006.5263759999999,0.10680319911748946,-3.0,5.004,21.6,4.972541751527495,long_nclose,0.001988053821812441
282993,1628858193000.0,0.10937474541751602,-0.015027000000000002,1005.7468255784113,1006.4993489999998,0.09196079393561124,-3.0,5.009,18.6,4.972541751527495,long_nclose,0.00197983939385149
282996,1628858196000.0,0.1316205702647645,-0.0155465,1005.862899648676,1006.5365024999999,0.07662515157443069,-3.1,5.015,15.5,4.972541751527495,long_nclose,0.001991110442703947
283002,1628858202000.0,0.1061456211812617,-0.0125375,1005.9565077698572,1006.5214649999998,0.06426027593694585,-2.5,5.015,13.0,4.972541751527495,long_nclose,0.0019864979735300103
283017,1628858217000.0,0.08916232179225983,-0.0105315,1006.0351385916495,1006.5197334999998,0.053875558628623414,-2.1,5.015,10.9,4.972541751527495,long_nclose,0.001985866369507816
283029,1628858229000.0,0.14433727087576298,-0.0135702,1006.1659056625252,1006.6206632999998,0.040524969225305484,-2.7,5.026,8.2,4.972541751527495,long_nclose,0.002016452976689509
283031,1628858231000.0,0.1578372708757627,-0.0135837,1006.310159233401,1006.6426795999998,0.027177485373133324,-2.7,5.031,5.5,4.972541751527495,long_nclose,0.002023128769710336
283033,1628858233000.0,0.35452036659877706,-0.0277035,1006.6369760999997,1006.6369760999997,0.0,-5.5,5.037,0.0,4.972541751527495,long_nclose,0.002021381368189301
283037,1628858237000.0,0.0,-0.051459,1006.5855170999997,1006.4325170999997,0.0511223330018246,10.2,5.045,10.2,5.045,long_ientry,0.001959221320225968
283055,1628858255000.0,0.041999999999999815,-0.010132,1006.6173850999998,1006.8387850999998,0.04109704502658704,-2.0,5.066,8.2,5.045,long_nclose,0.002082537760797365
283055,1628858255000.0,0.0519999999999996,-0.010142,1006.6592430999998,1006.8266430999998,0.031072083442731373,-2.0,5.071,6.2,5.045,long_nclose,0.002078849016791562
283078,1628858278000.0,0.13019999999999943,-0.0314092,1006.7580338999998,1006.7580338999998,0.0,-6.2,5.066,0.0,5.045,long_nclose,0.0020578375519964
283082,1628858282000.0,0.0,-0.051196900000000004,1006.7068369999997,1006.6967369999998,0.05085581831605263,10.1,5.069,10.1,5.069,long_ientry,0.002039186850328889
