trade_id,timestamp,pnl,fee_paid,balance,equity,pbr,qty,price,psize,pprice,type,adg
9,1609459212000.0,0.0,-0.140693,999.859307,999.789307,0.14071279730559133,70.0,2.0099,70.0,2.0099,long_ientry,-0.8677241691960245
3934,1609463137000.0,0.0931699999999983,-0.015569399999999999,999.9369075999999,1000.7468075999999,0.12522467072501525,-7.7,2.022,62.3,2.0099,long_nclose,0.016530694960130488
4137,1609463340000.0,0.14328999999999806,-0.0180314,1000.0621662,1000.9859862,0.10732198819981717,-8.9,2.026,53.4,2.0099,long_nclose,0.020795147531571745
4166,1609463369000.0,0.12235999999999833,-0.015397599999999997,1000.1691286,1000.9431486,0.09203785376664543,-7.6,2.026,45.8,2.0099,long_nclose,0.01974341394118273
4189,1609463392000.0,0.18290999999999805,-0.018473,1000.3335656,1001.0895856000001,0.07373873329518515,-9.1,2.03,36.7,2.0099,long_nclose,0.02271510285753675
4221,1609463424000.0,0.8477699999999964,-0.07461110000000001,1001.1067245,1001.1067245,0.0,-36.7,2.033,0.0,2.0099,long_nclose,0.022899364691872925
4273,1609463476000.0,0.0,-0.14090769,1000.9658168100001,1000.9450268100001,0.14077173029650683,69.3,2.0333,69.3,2.0333,long_ientry,0.019282965938991703
6231,1609465434000.0,0.07382999999999953,-0.0141036,1001.0255432100001,1001.7556232100002,0.1267479345163752,-6.9,2.044,62.4,2.0333,long_nclose,0.02462059821488971
6287,1609465490000.0,0.06633999999999958,-0.012672800000000001,1001.0792104100001,1001.77047041,0.11414826999873388,-6.2,2.044,56.2,2.0333,long_nclose,0.024607313639783523
6289,1609465492000.0,0.07873999999999821,-0.0126852,1001.14526521,1001.82026521,0.10154869980699033,-6.2,2.046,50.0,2.0333,long_nclose,0.025299298320575092
6293,1609465496000.0,0.14691000000000043,-0.0170233,1001.2751519100001,1002.0507719100001,0.08468062933376505,-8.3,2.051,41.7,2.0333,long_nclose,0.028526633249265965
6301,1609465504000.0,0.12213000000000035,-0.014151900000000002,1001.3831300100001,1002.00953001,0.0706611065030558,-6.9,2.051,34.8,2.0333,long_nclose,0.027909620901083843
6424,1609465627000.0,0.7551600000000017,-0.071514,1002.06677601,1002.06677601,0.0,-34.8,2.055,0.0,2.0333,long_nclose,0.028157690487883302
6439,1609465642000.0,0.0,-0.14090439999999999,1001.9258716100001,1001.91215161,0.14063355782357426,68.6,2.054,68.6,2.054,long_ientry,0.025964551215801546
